Size / nm,Number,Concentration / cm-3,Volume / nm^3,Area / nm^2
1.16E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.19E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.22E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.25E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.28E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.37E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.40E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.43E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.46E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.49E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.52E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.55E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.58E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.61E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.64E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.67E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.73E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.76E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.79E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.82E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.85E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.88E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.91E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.94E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.97E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.03E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.06E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.09E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.12E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.15E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.18E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.21E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.27E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.30E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.36E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.39E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.42E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.45E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.48E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.51E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.54E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.57E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.60E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.63E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.66E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.69E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.72E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.75E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.78E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.81E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.84E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.87E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.90E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.93E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.96E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.99E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.02E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.05E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.08E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.11E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.14E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.17E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.20E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.23E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.26E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.29E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.32E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.35E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.38E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.44E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.47E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.50E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.53E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.56E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.59E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.62E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.65E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.68E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.71E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.74E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.77E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.80E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.83E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.86E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.89E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.92E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.95E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.98E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.01E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.04E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.07E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.10E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.13E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.16E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.19E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.22E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.25E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.28E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.37E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.40E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.43E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.46E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.49E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.52E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.55E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.58E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.61E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.64E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.67E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.73E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.76E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.79E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.82E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.85E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.88E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.91E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.94E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.97E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.03E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.06E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.09E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.12E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.15E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.18E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.21E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.27E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.30E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.36E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.39E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.42E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.45E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.48E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.51E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.54E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.57E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.60E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.63E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.66E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.69E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.72E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.75E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.78E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.81E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.84E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.87E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.90E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.93E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.96E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.99E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
